question,answer,normalized_aliases,correctness
Which US President was known as 'The Rail-Splitter' and 'The Great Emancipator'?,"16th - Abraham Lincoln
","['lincoln s cabinet', 'president lincoln', 'president abe lincoln', 'abe lincoln', 'abraham lincoln and american civil war', 'presedent lincon', 'honest abe', 'abe licnoln', 'lincoln', 'lincoln abraham', 'abraham lincoln president', 'abaham lincoln', 'president abraham', 'abe lincolin', 'lincolnian', '16th president of united states', 'abaraham lincoln', 'abraham lincoln', 'lincoln president', 'abraham lincon', 'president abraham lincoln', 'rail splitter', 'abraham president', 'abe lincon', 'abrahm lincoln', 'aberham lincoln', 'great emancipator', 'abraham lincoln s life', 'honest abe lincoln']",Incorrect
Which London museum occupies part of the old Bethlehem Royal Hospital?," Museum of London
","['imperial war museum act 1955', 'imperial war museum act 1920', 'imperial war museum', 'iwm london', 'lord ashcroft gallery', 'imperial war museums']",Incorrect
What is the flavour of the liqueur Amaretto?," Almond
","['almond tree', 'almond bitter oil', 'prunus amygdalus dulcis', 'almendrado', 'marcona almonds', 'almond oil', 'luz nut', 'almond trees', 'oil of bitter almond', 'oleum amygdalae', 'almond', 'amygdalus fragilis', 'prunus amygdalus', 'baadaam', 'bitter almond', 'mandel nut', 'almonds', 'amygdalus communis', 'badam', 'bitter almonds', 'sweet almond oil', 'almond extract', 'amygdalus sativa', 'amygdalus dulcis', 'oil of bitter almonds', 'prunus dulcis', 'لوز', 'marcona almond', 'almond syrup', 'amygdalus amara', 'druparia amygdalus', 'toasted almond']",Correct
How often is the Oberammergau Passion Play performed?,"10 years
",['every ten years'],Incorrect
Whose cottage is on the left of the Constable painting The Hay Wain?," William Goodall
",['willy lott'],Incorrect
‘Wot a lot I got’ was the advertising slogan for which confectionery items?,"10p bags of sweets
","['smarties nestlé rowntree s', 'smartees', 'nestlé smarties', 'smartie', 'nestle smarties', 'smarties', 'smarties nestle rowntree s', 'lentilky', 'smarties nestle', 'smarties candy', 'smarties nestlé', 'smarties chocolate']",Incorrect
What is a cricket umpire signalling when he holds out one arm horizontally?,"6 runs
","['no ball', 'no balls']",Incorrect
"What is a mixture of saturated aliphatic and alicyclic C7 to C12 hydrocarbons with a maximum content of 25% of C7 to C12 alkyl aromatic hydrocarbons, which is used as an extraction, cleaning and degreasing solvent, and as a solvent in aerosols, paints, wood preservatives, lacquers, varnishes, and asphalt products?","1,1,1-Trichloroethane
","['turps substitute', 'turpenoid', 'mineral spirits', 'white spirit', 'stoddard solution', 'ligarin', 'stoddard solvent', 'odorless mineral spirits', 'varsol disambiguation', 'turpentine substitute', 'solvent naphtha', 'varsol', 'mineral turpentine', 'mineral spirit']",Incorrect
Who won the World Darts Championship 4 times in the 1980s?," Eric Bristow
","['eric bristow', 'crafty cockney']",Correct
"Which river rises on the Tibetan Plateau, flows northwest and then south and southwest to enter the Arabian Gulf in the Seven Rivers area south of Karachi?"," Indus
","['lion river', 'riv indus', 'حندو', 'satnad', 'सिन्धु', 'سندھ', 'ινδός', 'abaseen', 'river sindh', 'abasin', 'shindhu', 'river sindhu', 'sindhu', 'سنڌو', 'yìndù', 'indus', 'indos', 'indus valley', 'indus basin', 'indus river valley', 'sinthos', 'indus river', 'indus river basin', 'abbasin', 'ّآباسن', 'abasyn', 'river indus', 'sindhu river', 'satnad river', 'father of rivers']",Correct
In which city is the HQ of Volkswagen cars?," Wolfsburg
","['wolfsburg germany', 'kdf stadt', 'wolfsburg', 'wolfsburg crest', 'wolfsburg west germany', 'wolfsburg emblem']",Correct
"""Which American pop singer/songwriter who won the first season of the television series American Idol in 2002 won two Grammy Awards in 2006 - for her album """"Breakaway"""" and the single """"Since U Been Gone""""?"""," Kelly Clarkson
","['clarkson kelly', 'ain t gonna like this', 'kelly clarkson', 'kelly blackstock', 'brandon blackstock', 'kellegend', 'kelly clarkson singer', 'go kelly clarkson song', 'kelly brianne clarkson', 'kellly clarkson', 'way i like it album', 'kelly clarkston', 'jekky', 'kelly clarkson album', 'kelly clarckson']",Correct
"The wreck of which warship, one of the largest in the English navy of King Henry VIII in the first half of the 16th century, was rediscovered in 1971 and salvaged in October 1982?"," Mary Rose
","['hms mary rose 1510', 'mary rose shawm', 'english carrack mary rose', 'mary rose']",Correct
What seven-letter word means “A Russian tea urn”?," Samovar
","['samowar', 'zavarka', 'samovar', 'electric samovar', 'semaver']",Correct
What are the first names of David and Victoria Beckham’s daughter?," Brooklyn
",['harper seven'],Incorrect
"Which Roman writer, best known for his Natural History (Naturalis Historic), died during the eruption of Vesuvius in 79AD?"," Pliny
","['plinius', 'pliny disambiguation', 'pliny']",Correct
"Gary Numan, Cliff Richard and Crystal Gayle were all born with which surname?"," Purtill
","['webb disambiguation', 'webb']",Incorrect
"Because it was worn by recently freed slaves in Ancient Rome, what cap became the symbol of liberty?"," The pileus cap
","['cumulonimbus with pileus', 'pileus disambiguation', 'pileus']",Incorrect
"What form of bridge is Tower Bridge, London?","2 bascule and suspension
","['bascule disambiguation', 'bascule']",Incorrect
"Published in 2011, 'The House of Silk' is the first new official Sherlock Holmes mystery and was written by which author who has won many awards for his children's books?"," Anthony Horowitz
",['anthony horowitz'],Correct
Harrison Ford was working as what before his first big break as a film actor?," carpenter
","['medieval carpentry', 'carpenter', 'housewright', 'carpenter occupation', 'carpenter shop', 'carpenters', 'carpentry']",Correct
What type of animal is a shell-less gastropod?," Snail
","['slugs', 'slug zoology', 'common garden slug', 'keel slug', 'land slug', 'hyl mass', 'slug', 'slug animal']",Incorrect
"The Finch family of Maycomb, Alabama feature in which 1960 novel?"," To Kill A Mockingbird
","['maycomb alabama', 'to assassinate mockingbird', 'to kill mockingbird', 'tkamb', 'tkam', 'maycomb', 'how to kill mockingbird', 'maycomb al', 'prejudices in mockingbird', 'to kill mockingbird novel', 'maycomb disease', 'tkmb', 'to klil mockingbird', 'to kill mockingbird book', 'to kill mocking bird', 'to kill mockingbird play']",Correct
"Which Venetian artist, real name Jacopo Robusti, painted “The Origin of the Milky Way”?"," Tintoretto
","['tintoret', 'il tintoretto', 'tintoretto', 'little dyer', 'jacopo tintoretto', 'tintoretto il', 'jacobo robusti', 'jacopo robusti']",Correct
To which James Bond film did Nancy Sinatra sing the theme tune?,"007 - You Only Live Twice
","['you only live twice', 'you only live twice disambiguation', 'you live only twice', 'you only live twice album', 'yolt']",Incorrect
Which American President was the teddy bear named after?,"26th - Theodore Roosevelt
","['t ros', 'cowboy president', 'theodore roosavelt', 'trust buster', 'president theodore roosevelt', 'teddy roosvelt', 'teddy rosevelt', 't roosevelt', 'roosevelt theodore', 'feddy roosevelt', 'cowboy of dakotas', 'teddy rose', '26th president of united states', 'teddy roosevelt foreign policy', 'teddy roose', 'teodoro roosevelt', 'theodore roosevelt', 'theodor roosevelt', 't roosevelt administration', 'teddy roosevelt']",Incorrect
What country had the Roman name Hibernia?," Ireland
","['irlandia', 'erin s isle', 'héireann', 'airlann', 'ireland', 'irelanders', 'airlan', 'mikra britannia', 'irelander', 'population of ireland', 'west coast of ireland', 'scotia major', 'symbol of ireland', 'irland', 'auld sod', 'island of ireland', 'ireland region', 'irlanda', 'ireland ulster', 'ierne placename', 'island ireland', 'ireland island', 'ireland and ulster']",Correct
Who won a Gold Medal for Britain in the men’s 100 metres at the 1992 Summer Olympic Games in Barcelona?," Linford Christie
","['linford christie s lunchbox', 'lynford christie', 'linford christie', 'christie linford', 'linford s lunchbox']",Correct
Which was the second city to host the modern Olympic Games?,"1924 - Paris
","['paris musical', 'paris', 'paris u s', 'places named paris', 'paris list', 'paris usa', 'paris roman actor', 'paris album', 'paris disambiguation', 'list of places and things named paris', 'paris actor', 'paris film']",Incorrect
The White Stripes 2003 hit single I Just Don't Know What To Do With Myself was originally a hit in 1964 for which female singer?," Dusty Springfield
","['mary isabel catherine bernadette o brien', 'dusty springfield', 'mary isobel catherine bernadette o brien', 'dusty springfield s personality', 'dusty springfield s sexuality', 'dusty very best of dusty springfield']",Correct
"Coriolanus Snow, Peeta Mellark and Haymitch Abernathy are characters in which series of books?"," The Hunger Games
","['hunger games trilogy', 'hunger game', 'hunger games', 'hunger games franchise']",Correct
"What American boxer, who celebrated his birthday on Monday, is the first in history to win 5 world titles in 5 different weight classes, and was nicknamed The Motor City Cobra or The Hitman?"," Sugar Ray Leonard
","['thomas hearns', 'thomas 22the hitman 22 hearns', 'tommy hearns', 'hitman hearns']",Incorrect
Which country is the world's largest producer of rice?," China
","['中華', 'zhōngguó', 'peoples republic of china', 'chinese people s republic', 'territorial disputes of china', 'people s republic of china', 'zhongguo', 'china peking', 'proc', 'red china modern', 'land of china', 'people s republic of china mainland china', '中華人民共和國', 'zhonghuá rénmín gònghéguó', 'cihna', 'iso 3166 1 cn', 'modern day china', '中国', 'jhongguó', 'pr of c', 'socialist china', 'communist china modern', 'chinese pr', 'p r of china', '中华', 'nation of china', 'prchina', 'pr of china', 'state of china', 'chaina', 'prc china', 'china republic 1949', 'people s republic of china prc', 'people s republic or china', '中华人民共和国', 'china people s republic of', 'zhonghuarenmingongheguo', 'zhongguó', 'sinic', 'china prc', 'zhong guo', 'zhonghua renmin gongheguo', 'red chinese', 'pr china', 'china s', 'chung kuo', 'p r china', 'homes in china', 'p r c', 'china', 'zhonghua renmin gonghe guo', 'china pr', 'people s repuublic of china', '中國', 'china people s republic', 'zhōnghuá rénmín gònghéguó', 'chungkuo', 'prc', 'people republic of china']",Correct
"Starting in Hong Kong and digging directly through the center of the Earth, in what country would you emerge?"," Brazil
","['arxentina', 'argentina information', 'argentinie', 'nacion argentina', 'argentyna', 'people of argintina', 'argjentina', 'republica argentina', 'antonia merce y luque', 'argentína', 'arc hantina', 'ariannin', 'argies', 'argentinean', 'airgintín', 'argentīna', 'iso 3166 1 ar', 'arjantin', 'república argentina', 'argentinien', 'արգենտինա', 'airgintin', 'nación argentina', 'argentinia', 'argentina', 'arxintina', 'アルゼンチン', 'republic of argentina', 'argentina republic', 'אַרגענטינע', 'argintina', 'अर्जेन्टीना', 'argentine republic', 'argentiina', 'آرژانتین', 'аргентына', 'arghantina', 'argie', 'аржентина', 'argentinië', 'ארגנטינה', 'الأرجنتين', 'land of silver']",Incorrect
"""Which TV character had the catchphrase """"Listen very carefully; I shall say zis only once""""?""","	Allo 'Allo's Colonel von Strohm
","['mishell', 'michelle', 'michelle disambiguation']",Incorrect
Who is the only member of Winston Churchill’s Government (a Parliamentary Secretary of Agriculture) who is still alive (95 years)?,"	Lord Walter John Scott
","['earl carrington', 'lord carrington', 'viscount wendover', 'marquess of lincolnshire', 'baron carrington']",Incorrect
"Chartwell, the former home of Winston Churchill is in which county?"," Kent
","['kent county', 'kent england', 'garden of england', 'kent', 'culture in kent', 'wilsley green', 'winkhurst green', 'sport in kent', 'kent county england', 'education in kent', 'county of kent england', 'cantium', 'rhoden green', 'county of kent', 'county kent']",Correct
What musical instrument has the nickname 'the devil's box'?," Violin
","['violon', 'violino', 'violin instrument', 'viollon', 'carnatic violin', 'violina', '🎻', 'violinist', 'violins', 'geige', 'fiddleandviolin', 'fiddle and violin', 'violin', 'violinist disambiguation', 'violin tuning', 'violin player']",Correct
In which country is Verdi's opera 'Aida' set?," Egypt
","['names of egypt', 'jumhuriyat misr al arabiyah', 'eytp', 'iso 3166 1 eg', 'egypt', 'r egypt', 'eygpt', 'kimet', 'name of egypt', 'جمهورية مصرالعربية', 'arab republic of egypt', 'egypt name', 'gift of nile', 'kemmet', 'miṣr', 'egipto', 'جمهوريّة مصرالعربيّة', 'egy', 'egypt info', 'egyptian republic', 'egypte', 'eypt', 'ejipt', 'national identity of egyptians', 'égypte', 'etymology of egypt', 'egipt', 'مصر', 'second egyptian republic', 'republic of eygpt']",Correct
Who is the Greek God of wine?," Dionysus
","['liknites', 'father bacchus', 'layios', 'bacchino', 'bachus', 'diónysos', 'dionysus dendrites', 'god of wine', 'dionysis', 'dyonysus', 'lyoeus', 'dionysus', 'dionysos dendrites', 'bacchus mythology', 'lyaeus', 'di wo ni so jo', 'acratophorus', 'bacchus god', 'dionysos', 'dionysiac cult', 'διόνυσος', 'dyonisos', 'aegobolus', 'bacchus', 'bacchic', 'διώνυσος']",Correct
"Chequers, the Prime Minister's country residence, is in which English county?"," Buckinghamshire
","['list of settlements in buckinghamshire by population', 'county of buckingham', 'buckinghamshire england', 'buckinghamshire', 'county of bucks']",Correct
